date,trendIndex
2017-12-06,40
2017-12-07,79
2017-12-08,66
2017-12-09,45
2017-12-10,44
2017-12-11,47
2017-12-12,40
2017-12-13,38
2017-12-14,32
2017-12-15,28
2017-12-16,24
2017-12-17,29
2017-12-18,33
2017-12-19,37
2017-12-20,69
2017-12-21,52
2017-12-22,100
2017-12-23,44
2017-12-24,47
2017-12-25,29
2017-12-26,28
2017-12-27,23
2017-12-28,27
2017-12-29,27
2017-12-30,30
2017-12-31,17
2018-01-01,19
2018-01-02,20
2018-01-03,15
2018-01-04,21
2018-01-05,19
2018-01-06,14
2018-01-07,16
2018-01-08,27
2018-01-09,23
2018-01-10,26
2018-01-11,31
2018-01-12,21
2018-01-13,17
2018-01-14,22
2018-01-15,19
2018-01-16,64
2018-01-17,62
2018-01-18,32
2018-01-19,23
2018-01-20,19
2018-01-21,21
2018-01-22,27
2018-01-23,21
2018-01-24,20
2018-01-25,22
2018-01-26,22
2018-01-27,18
2018-01-28,14
2018-01-29,17
2018-01-30,21
2018-01-31,22
2018-02-01,40
2018-02-02,45
2018-02-03,24
2018-02-04,22
2018-02-05,39
2018-02-06,57
2018-02-07,26
2018-02-08,19
2018-02-09,17
2018-02-10,16
2018-02-11,14
2018-02-12,14
2018-02-13,13
2018-02-14,16
2018-02-15,19
2018-02-16,11
2018-02-17,14
2018-02-18,18
2018-02-19,13
2018-02-20,19
2018-02-21,20
2018-02-22,17
2018-02-23,13
2018-02-24,9
2018-02-25,7
2018-02-26,11
2018-02-27,9
2018-02-28,9
2018-03-01,9
2018-03-02,10
2018-03-03,8
2018-03-04,8
2018-03-05,6
2018-03-06,9
2018-03-07,17
2018-03-08,15
2018-03-09,18
2018-03-10,8
2018-03-11,11
2018-03-12,12
2018-03-13,8
2018-03-14,17
2018-03-15,15
2018-03-16,11
2018-03-17,12
2018-03-18,22
2018-03-19,15
2018-03-20,11
2018-03-21,12
2018-03-22,13
2018-03-23,9
2018-03-24,9
2018-03-25,11
2018-03-26,13
2018-03-27,14
2018-03-28,11
2018-03-29,16
2018-03-30,18
2018-03-31,11
2018-04-01,14
2018-04-02,10
2018-04-03,10
2018-04-04,12
2018-04-05,11
2018-04-06,15
2018-04-07,12
2018-04-08,6
2018-04-09,16
2018-04-10,9
2018-04-11,8
2018-04-12,14
2018-04-13,11
2018-04-14,6
2018-04-15,8
2018-04-16,8
2018-04-17,7
2018-04-18,8
2018-04-19,8
2018-04-20,10
2018-04-21,12
2018-04-22,5
2018-04-23,10
2018-04-24,11
2018-04-25,14
2018-04-26,10
2018-04-27,8
2018-04-28,8
2018-04-29,6
2018-04-30,9
2018-05-01,10
2018-05-02,8
2018-05-03,8
2018-05-04,9
2018-05-05,8
2018-05-06,6
2018-05-07,9
2018-05-08,6
2018-05-09,9
2018-05-10,10
2018-05-11,15
2018-05-12,10
2018-05-13,8
2018-05-14,10
2018-05-15,11
2018-05-16,11
2018-05-17,8
2018-05-18,7
2018-05-19,5
2018-05-20,6
2018-05-21,8
2018-05-22,9
2018-05-23,13
2018-05-24,11
2018-05-25,8
2018-05-26,6
2018-05-27,6
2018-05-28,9
2018-05-29,9
2018-05-30,7
2018-05-31,6
2018-06-01,6
2018-06-02,4
2018-06-03,3
2018-06-04,9
